rank,Net Worth ($B),Age,Country of Residence,City of Residence,Source,Industries,Origin Country,Self Made,Gender,Surname,First Name,Birth Year,Residence Country CPI Inflation Percentage,Residence Country GDP,Residence Country Tertiary Education Enrollment Percentage,Country of Residence Life Expectancy,Country of Residence Population
25,45.1,85,United States,Hillsboro,Nike,Fashion & Retail,United States,True,M,Knight,Phil,1938,17.2%,21427700000000,88.2%,78.5,328239523
26,45.0,39,China,Beijing,TikTok,Technology,China,True,M,Zhang,Yiming,1984,25.1%,19910000000000,50.6%,77.0,1397715000
27,42.9,83,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,False,M,Schwarz,Dieter,1939,12.8%,3845630030824,70.2%,80.9,83132799
28,40.1,86,France,Paris,Luxury goods,Fashion & Retail,France,True,M,Pinault,François,1936,10.0%,2715518274227,65.6%,82.5,67059887
29,39.1,85,Switzerland,Schindellegi,Shipping,Logistics,Germany,False,M,Kuehne,Klaus-Michael,1937,-0.5%,703082435360,59.6%,83.6,8574832
30,38.9,58,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,False,M,Ferrero,Giovanni,1964,17.1%,529606710418,79.7%,81.6,11484055
31,38.3,83,United States,The Plains,"Candy, pet food",Food & Beverage,United States,False,F,Mars,Jacqueline,1939,17.2%,21427700000000,88.2%,78.5,328239523
31,38.3,87,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,Mars,John,1935,17.2%,21427700000000,88.2%,78.5,328239523
34,35.3,51,China,Shenzhen,Internet media,Technology,China,True,M,Ma,Huateng,1971,25.1%,19910000000000,50.6%,77.0,1397715000
35,35.0,77,United States,Las Vegas,Casinos,Gambling & Casinos,United States,False,F,Adelson,Miriam,1945,17.2%,21427700000000,88.2%,78.5,328239523
35,35.0,54,United States,Miami,Hedge funds,Finance & Investments,United States,True,M,Griffin,Ken,1968,17.2%,21427700000000,88.2%,78.5,328239523
37,34.7,30,Austria,Salzburg,Red Bull,Food & Beverage,Austria,False,M,Mateschitz,Mark,1992,18.1%,446314739528,85.1%,81.6,8877067
38,33.4,54,China,Ningde,Batteries,Automotive,Hong Kong,True,M,Zeng,Robin,1969,25.1%,19910000000000,50.6%,77.0,1397715000
39,32.6,74,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,True,M,Yanai,Tadashi,1949,5.5%,5081769542380,63.2%,84.2,126226568
40,32.1,65,United Kingdom,London,"Music, chemicals",Diversified,United States,True,M,Blavatnik,Len,1957,19.6%,2827113184696,60.0%,81.3,66834405
41,31.6,74,United States,New York,Chanel,Fashion & Retail,France,False,M,Wertheimer,Alain,1948,17.2%,21427700000000,88.2%,78.5,328239523
41,31.6,72,United States,New York,Chanel,Fashion & Retail,France,False,M,Wertheimer,Gerard,1951,17.2%,21427700000000,88.2%,78.5,328239523
43,31.2,82,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,M,Aponte,Gianluigi,1940,-0.5%,703082435360,59.6%,83.6,8574832
43,31.2,78,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,F,Aponte-Diamant,Rafaela,1945,-0.5%,703082435360,59.6%,83.6,8574832
45,30.2,43,China,Shanghai,E-commerce,Technology,China,True,M,Huang,Colin Zheng,1980,25.1%,19910000000000,50.6%,77.0,1397715000
46,29.7,87,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,True,M,Wuerth,Reinhold,1935,12.8%,3845630030824,70.2%,80.9,83132799
48,28.5,64,United States,Haverford,"Trading, investments",Finance & Investments,United States,True,M,Yass,Jeff,1958,17.2%,21427700000000,88.2%,78.5,328239523
49,28.1,84,United States,East Setauket,Hedge funds,Finance & Investments,United States,True,M,Simons,Jim,1938,17.2%,21427700000000,88.2%,78.5,328239523
50,27.8,76,United States,New York,Investments,Finance & Investments,United States,True,M,Schwarzman,Stephen,1947,17.2%,21427700000000,88.2%,78.5,328239523
51,27.4,60,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,False,F,Klatten,Susanne,1962,12.8%,3845630030824,70.2%,80.9,83132799
52,27.0,69,Australia,Perth,Mining,Metals & Mining,Australia,False,F,Rinehart,Gina,1954,19.8%,1392680589329,113.1%,82.7,25766605
53,26.7,51,China,Hangzhou,Online games,Technology,China,True,M,Ding,William,1971,25.1%,19910000000000,50.6%,77.0,1397715000
54,26.6,69,Mexico,Mexico City,Mining,Metals & Mining,Mexico,False,M,Larrea Mota Velasco,Germán,1953,41.5%,1258286717125,40.2%,75.0,126014024
55,25.6,77,India,Delhi,software services,Technology,India,True,M,Nadar,Shiv,1945,80.4%,2611000000000,28.1%,69.4,1366417754
56,25.5,74,Indonesia,Jakarta,Coal,Energy,Indonesia,True,M,Low Tuck,Kwong,1948,51.2%,1119190780753,36.3%,71.5,270203917
57,25.3,78,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,True,M,Peterffy,Thomas,1944,17.2%,21427700000000,88.2%,78.5,328239523
58,25.2,51,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,True,M,Melnichenko,Andrey,1972,14.5%,421142267938,36.8%,77.8,9770529
59,24.6,56,Germany,Frankfurt,BMW,Automotive,Germany,False,M,Quandt,Stefan,1966,12.8%,3845630030824,70.2%,80.9,83132799
60,24.4,52,United States,Seattle,Amazon,Technology,United States,False,F,Scott,MacKenzie,1970,17.2%,21427700000000,88.2%,78.5,328239523
61,24.2,82,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,False,M,Hartono,R. Budi,1941,51.2%,1119190780753,36.3%,71.5,270203917
62,23.7,62,Russia,Moscow,Metals,Metals & Mining,Russia,True,M,Potanin,Vladimir,1961,80.8%,1699876578871,81.9%,72.7,144373535
63,23.5,58,China,Hangzhou,E-commerce,Technology,China,True,M,Ma,Jack,1964,25.1%,19910000000000,50.6%,77.0,1397715000
64,23.4,80,China,Foshan,Home appliances,Manufacturing,China,True,M,He,Xiangjian,1942,25.1%,19910000000000,50.6%,77.0,1397715000
65,23.1,80,Chile,Santiago,Mining,Metals & Mining,Chile,False,F,Fontbona,Iris,1943,31.9%,282318159745,88.5%,80.0,18952038
65,23.1,83,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,False,M,Hartono,Michael,1939,51.2%,1119190780753,36.3%,71.5,270203917
67,22.9,70,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,M,Ratcliffe,James,1953,19.6%,2827113184696,60.0%,81.3,66834405
68,22.6,81,India,Pune,Vaccines,Healthcare,India,False,M,Poonawalla,Cyrus,1941,80.4%,2611000000000,28.1%,69.4,1366417754
69,22.4,65,Japan,Tokyo,"Internet, telecom",Telecom,Japan,True,M,Son,Masayoshi,1957,5.5%,5081769542380,63.2%,84.2,126226568
70,22.1,66,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,True,M,Lisin,Vladimir,1956,80.8%,1699876578871,81.9%,72.7,144373535
71,22.0,52,France,Laval,Cheese,Food & Beverage,France,False,M,Besnier,Emmanuel,1970,10.0%,2715518274227,65.6%,82.5,67059887
72,21.6,61,United States,Milton,Fidelity,Finance & Investments,United States,False,F,Johnson,Abigail,1961,17.2%,21427700000000,88.2%,78.5,328239523
72,21.6,67,Russia,Moscow,"Gas, chemicals",Energy,Russia,True,M,Mikhelson,Leonid,1955,80.8%,1699876578871,81.9%,72.7,144373535
74,21.2,36,United States,Chicago,Walmart,Fashion & Retail,United States,False,M,Walton,Lukas,1986,17.2%,21427700000000,88.2%,78.5,328239523
74,21.2,52,China,Shenzhen,Package delivery,Service,China,True,M,Wang,Wei,1970,25.1%,19910000000000,50.6%,77.0,1397715000
76,21.1,60,United States,Los Altos,Semiconductors,Technology,United States,True,M,Huang,Jensen,1963,17.2%,21427700000000,88.2%,78.5,328239523
77,21.0,90,United States,New York,Estee Lauder,Fashion & Retail,United States,False,M,Lauder,Leonard,1933,17.2%,21427700000000,88.2%,78.5,328239523
77,21.0,77,Japan,Osaka,Sensors,Manufacturing,Japan,True,M,Takizaki,Takemitsu,1945,5.5%,5081769542380,63.2%,84.2,126226568
79,20.9,57,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,True,M,Mordashov,Alexey,1965,80.8%,1699876578871,81.9%,72.7,144373535
80,20.5,72,Russia,Moscow,Oil,Energy,Russia,True,M,Alekperov,Vagit,1950,80.8%,1699876578871,81.9%,72.7,144373535
81,20.2,84,United States,Nashville,Hospitals,Healthcare,United States,True,M,Frist,Thomas,1938,17.2%,21427700000000,88.2%,78.5,328239523
82,19.6,61,Australia,Perth,Mining,Metals & Mining,Australia,True,M,Forrest,Andrew,1961,19.8%,1392680589329,113.1%,82.7,25766605
83,19.1,73,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,Dalio,Ray,1949,17.2%,21427700000000,88.2%,78.5,328239523
84,19.0,59,China,Hangzhou,Automobiles,Automotive,China,True,M,Li,Eric,1963,25.1%,19910000000000,50.6%,77.0,1397715000
84,19.0,55,China,Shenzhen,"Mining, copper products",Metals & Mining,China,True,M,Wang,Wenyin,1968,25.1%,19910000000000,50.6%,77.0,1397715000
86,18.9,57,China,Nanyang,Pig breeding,Food & Beverage,China,True,M,Qin,Yinglin,1965,25.1%,19910000000000,50.6%,77.0,1397715000
88,18.7,57,China,Shenzhen,"Batteries, automobiles",Automotive,China,True,M,Wang,Chuanfu,1966,25.1%,19910000000000,50.6%,77.0,1397715000
89,18.5,77,United States,Oklahoma City,Oil & gas,Energy,United States,True,M,Hamm,Harold,1945,17.2%,21427700000000,88.2%,78.5,328239523
89,18.5,65,United States,Palm Beach,Hedge funds,Finance & Investments,United States,True,M,Tepper,David,1957,17.2%,21427700000000,88.2%,78.5,328239523
89,18.5,70,Russia,Moscow,"Oil, gas",Energy,Russia,True,M,Timchenko,Gennady,1952,80.8%,1699876578871,81.9%,72.7,144373535
92,18.0,61,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,Gilbert,Daniel,1962,17.2%,21427700000000,88.2%,78.5,328239523
93,17.7,72,United Kingdom,London,Steel,Metals & Mining,India,False,M,Mittal,Lakshmi,1950,19.6%,2827113184696,60.0%,81.3,66834405
94,17.5,66,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,Cohen,Steve,1956,17.2%,21427700000000,88.2%,78.5,328239523
94,17.5,87,United States,Indian Creek,Investments,Finance & Investments,United States,True,M,Icahn,Carl,1936,17.2%,21427700000000,88.2%,78.5,328239523
94,17.5,73,India,Hisar,Steel,Metals & Mining,India,False,F,Jindal,Savitri,1950,80.4%,2611000000000,28.1%,69.4,1366417754
97,17.4,90,United States,Newport Beach,Real estate,Real Estate,United States,True,M,Bren,Donald,1932,17.2%,21427700000000,88.2%,78.5,328239523
97,17.4,83,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,True,M,Menard,John,1940,17.2%,21427700000000,88.2%,78.5,328239523
99,17.1,92,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,False,M,Murdoch,Rupert,1931,17.2%,21427700000000,88.2%,78.5,328239523
100,16.7,70,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,False,F,Safra,Vicky,1953,-0.5%,703082435360,59.6%,83.6,8574832
101,16.5,72,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,False,M,Albrecht,Theo,1951,12.8%,3845630030824,70.2%,80.9,83132799
101,16.5,55,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,False,F,Kellnerova,Renata,1967,16.5%,246489245495,64.1%,79.0,10669709
103,16.3,72,China,Shenzhen,medical devices,Healthcare,Singapore,True,M,Li,Xiting,1951,25.1%,19910000000000,50.6%,77.0,1397715000
104,16.2,75,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,False,M,Persson,Stefan,1947,10.5%,530832908738,67.0%,82.5,10285453
104,16.2,67,United States,Atherton,Google,Technology,United States,True,M,Schmidt,Eric,1955,17.2%,21427700000000,88.2%,78.5,328239523
106,16.0,55,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,True,M,Platt,Michael,1968,-0.5%,703082435360,59.6%,83.6,8574832
107,15.9,67,China,Foshan,Soy sauce,Food & Beverage,China,True,M,Pang,Kang,1956,25.1%,19910000000000,50.6%,77.0,1397715000
108,15.8,83,Switzerland,Zurich,Beer,Food & Beverage,Brazil,True,M,Lemann,Jorge Paulo,1939,-0.5%,703082435360,59.6%,83.6,8574832
112,15.6,67,India,Mumbai,Pharmaceuticals,Healthcare,India,True,M,Shanghvi,Dilip,1955,80.4%,2611000000000,28.1%,69.4,1366417754
113,15.5,45,United States,San Jose,Wireless networking,Technology,United States,True,M,Pera,Robert,1978,17.2%,21427700000000,88.2%,78.5,328239523
114,15.3,68,India,Mumbai,"Retail, investments",Fashion & Retail,India,True,M,Damani,Radhakishan,1955,80.4%,2611000000000,28.1%,69.4,1366417754
115,15.2,56,China,Ningde,Batteries,Automotive,China,True,M,Huang,Shilin,1967,25.1%,19910000000000,50.6%,77.0,1397715000
116,14.9,83,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,Chearavanont,Dhanin,1939,13.3%,543649976166,49.3%,76.9,69625582
116,14.9,81,United States,Oklahoma City,Retail,Fashion & Retail,United States,True,M,Green,David,1941,17.2%,21427700000000,88.2%,78.5,328239523
118,14.8,78,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,Thailand,True,M,Sirivadhanabhakdi,Charoen,1944,13.3%,543649976166,49.3%,76.9,69625582
119,14.7,68,United Kingdom,London,Heineken,Food & Beverage,Netherlands,False,F,de Carvalho-Heineken,Charlene,1954,19.6%,2827113184696,60.0%,81.3,66834405
120,14.6,60,China,Shenzhen,Medical devices,Healthcare,Hong Kong,True,M,Xu,Hang,1962,25.1%,19910000000000,50.6%,77.0,1397715000
121,14.5,59,China,Baoding,Automobiles,Automotive,China,True,M,Wei,Jianjun,1964,25.1%,19910000000000,50.6%,77.0,1397715000
123,14.3,95,Singapore,Singapore,Paints,Manufacturing,Singapore,True,M,Goh,Cheng Liang,1927,14.4%,372062527489,84.8%,83.1,5703569
124,14.2,55,India,Mumbai,Commodities,Diversified,India,False,M,Birla,Kumar,1967,80.4%,2611000000000,28.1%,69.4,1366417754
124,14.2,65,Nigeria,Lagos,"Cement, sugar",Manufacturing,Nigeria,True,M,Dangote,Aliko,1957,167.5%,448120428859,10.2%,54.3,200963599
127,14.0,67,United Kingdom,London,Shipping,Diversified,Israel,False,M,Ofer,Idan,1955,19.6%,2827113184696,60.0%,81.3,66834405
128,13.9,57,China,Changsha,Hospitals,Healthcare,China,True,M,Chen,Bang,1965,25.1%,19910000000000,50.6%,77.0,1397715000
130,13.7,78,United Kingdom,London,Shipping,Logistics,Cyprus,True,M,Fredriksen,John,1945,19.6%,2827113184696,60.0%,81.3,66834405
130,13.7,76,United States,Afton,Building supplies,Construction & Engineering,United States,True,F,Hendricks,Diane,1947,17.2%,21427700000000,88.2%,78.5,328239523
130,13.7,47,United States,Atherton,WhatsApp,Technology,United States,True,M,Koum,Jan,1976,17.2%,21427700000000,88.2%,78.5,328239523
133,13.3,80,United States,Dallas,Dallas Cowboys,Sports,United States,True,M,Jones,Jerry,1942,17.2%,21427700000000,88.2%,78.5,328239523
133,13.3,80,United States,Tulsa,"Oil & gas, banking",Energy,United States,False,M,Kaiser,George,1942,17.2%,21427700000000,88.2%,78.5,328239523
136,13.2,60,China,Guangzhou,"Automobiles, batteries",Automotive,China,True,M,Lu,Xiangyang,1962,25.1%,19910000000000,50.6%,77.0,1397715000
137,13.1,90,Australia,Sydney,Real estate,Real Estate,Australia,True,M,Triguboff,Harry,1933,19.8%,1392680589329,113.1%,82.7,25766605
138,12.9,64,India,Mumbai,Banking,Finance & Investments,India,True,M,Kotak,Uday,1959,80.4%,2611000000000,28.1%,69.4,1366417754
138,12.9,75,United States,Electra,"Sports, real estate",Sports,United States,True,M,Kroenke,Stanley,1947,17.2%,21427700000000,88.2%,78.5,328239523
140,12.6,58,United Kingdom,London,"Oil, banking, telecom",Energy,Russia,True,M,Fridman,Mikhail,1964,19.6%,2827113184696,60.0%,81.3,66834405
141,12.3,57,Thailand,Bangkok,Energy,Energy,Thailand,True,M,Ratanavadi,Sarath,1965,13.3%,543649976166,49.3%,76.9,69625582
142,12.2,50,China,Yinchuan,Coal,Metals & Mining,China,True,M,Dang,Yanbao,1973,25.1%,19910000000000,50.6%,77.0,1397715000
142,12.2,69,China,Chongqing,Vaccines,Healthcare,China,True,M,Jiang,Rensheng,1953,25.1%,19910000000000,50.6%,77.0,1397715000
144,12.1,72,United States,Naples,Auto parts,Automotive,United States,True,M,Khan,Shahid,1950,17.2%,21427700000000,88.2%,78.5,328239523
145,12.0,59,United States,Palo Alto,"Apple, Disney",Technology,United States,False,F,Powell Jobs,Laurene,1963,17.2%,21427700000000,88.2%,78.5,328239523
147,11.6,82,United States,New York,Real estate,Real Estate,United States,True,M,Ross,Stephen,1940,17.2%,21427700000000,88.2%,78.5,328239523
148,11.5,38,United Arab Emirates,Dubai,Messaging app,Technology,United Arab Emirates,True,M,Durov,Pavel,1984,14.5%,421142267938,36.8%,77.8,9770529
148,11.5,73,Germany,Tegernsee,Pharmaceuticals,Healthcare,Germany,True,M,Struengmann,Andreas,1950,12.8%,3845630030824,70.2%,80.9,83132799
148,11.5,73,Germany,Tegernsee,Pharmaceuticals,Healthcare,Germany,True,M,Struengmann,Thomas,1950,12.8%,3845630030824,70.2%,80.9,83132799
151,11.4,59,China,Chengdu,Agribusiness,Food & Beverage,China,True,M,Liu,Hanyuan,1964,25.1%,19910000000000,50.6%,77.0,1397715000
151,11.4,50,United States,Bryn Mawr,Online retail,Fashion & Retail,United States,True,M,Rubin,Michael,1972,17.2%,21427700000000,88.2%,78.5,328239523
153,11.3,74,United States,New York,Hedge funds,Finance & Investments,United States,True,M,Englander,Israel,1948,17.2%,21427700000000,88.2%,78.5,328239523
153,11.3,69,Israel,Herzliya,"Fertilizer, real estate",Manufacturing,Russia,True,M,Kantor,Viatcheslav,1953,8.2%,395098666122,63.4%,82.8,9053300
153,11.3,62,Australia,Melbourne,Manufacturing,Manufacturing,Australia,False,M,Pratt,Anthony,1960,19.8%,1392680589329,113.1%,82.7,25766605
153,11.3,57,Switzerland,Frauenfeld,Investments,Finance & Investments,Russia,True,M,Prokhorov,Mikhail,1965,-0.5%,703082435360,59.6%,83.6,8574832
157,11.1,88,Italy,Milan,Luxury goods,Fashion & Retail,Italy,True,M,Armani,Giorgio,1934,10.6%,2001244392042,61.9%,82.9,60297396
157,11.1,72,South Africa,Cape Town,Luxury goods,Fashion & Retail,South Africa,False,M,Rupert,Johann,1950,58.9%,351431649241,22.4%,63.9,58558270
159,11.0,51,China,Shenzhen,Internet media,Technology,China,True,M,Zhang,Zhidong,1972,25.1%,19910000000000,50.6%,77.0,1397715000
161,10.9,83,United States,Denver,"Energy, sports, entertainment",Finance & Investments,United States,False,M,Anschutz,Philip,1939,17.2%,21427700000000,88.2%,78.5,328239523
161,10.9,85,United States,Oklahoma City,Gas stations,Fashion & Retail,United States,True,F,Love,Judy,1937,17.2%,21427700000000,88.2%,78.5,328239523
161,10.9,67,Mexico,Mexico City,"Retail, media",Fashion & Retail,Mexico,False,M,Salinas Pliego,Ricardo,1955,41.5%,1258286717125,40.2%,75.0,126014024
164,10.7,93,United States,New York,Media,Media & Entertainment,United States,False,M,Newhouse,Donald,1929,17.2%,21427700000000,88.2%,78.5,328239523
165,10.6,81,United States,Brookline,"Manufacturing, New England Patriots",Sports,United States,True,M,Kraft,Robert,1941,17.2%,21427700000000,88.2%,78.5,328239523
165,10.6,73,Brazil,Sao Paulo,Beer,Food & Beverage,Brazil,True,M,Telles,Marcel Herrmann,1950,67.4%,1839758040766,51.3%,75.7,212559417
167,10.5,57,Russia,Moscow,Gold,Finance & Investments,Russia,True,M,Kerimov & family,Suleiman,1966,80.8%,1699876578871,81.9%,72.7,144373535
167,10.5,39,China,Guangzhou,E-commerce,Fashion & Retail,China,True,M,Xu,Sky,1984,25.1%,19910000000000,50.6%,77.0,1397715000
167,10.5,45,United Arab Emirates,Dubai,Cryptocurrency exchange,Finance & Investments,Canada,True,M,Zhao,Changpeng,1977,14.5%,421142267938,36.8%,77.8,9770529
170,10.3,70,United States,Dallas,"Banks, real estate",Finance & Investments,United States,True,M,Beal,Andrew,1952,17.2%,21427700000000,88.2%,78.5,328239523
171,10.2,43,Australia,Sydney,Software,Technology,Australia,True,M,Cannon-Brookes,Mike,1979,19.8%,1392680589329,113.1%,82.7,25766605
171,10.2,60,United States,Bloomington,Medical devices,Healthcare,United States,False,M,Cook,Carl,1962,17.2%,21427700000000,88.2%,78.5,328239523
171,10.2,82,United States,Incline Village,Business software,Technology,United States,True,M,Duffield,David,1940,17.2%,21427700000000,88.2%,78.5,328239523
171,10.2,64,United States,Houston,Oil,Energy,United States,True,M,Hildebrand,Jeffery,1959,17.2%,21427700000000,88.2%,78.5,328239523
171,10.2,74,Russia,Magnitogorsk,Steel,Manufacturing,Russia,True,M,Rashnikov,Viktor,1948,80.8%,1699876578871,81.9%,72.7,144373535
171,10.2,41,Singapore,Singapore,Facebook,Technology,Brazil,True,M,Saverin,Eduardo,1982,14.4%,372062527489,84.8%,83.1,5703569
171,10.2,58,Germany,Herzogenaurach,Auto parts,Automotive,Germany,False,M,Schaeffler,Georg,1964,12.8%,3845630030824,70.2%,80.9,83132799
171,10.2,74,United States,Jackson,Walmart,Fashion & Retail,United States,False,F,Walton,Christy,1949,17.2%,21427700000000,88.2%,78.5,328239523
179,10.1,43,Australia,Sydney,Software,Technology,Australia,True,M,Farquhar,Scott,1979,19.8%,1392680589329,113.1%,82.7,25766605
179,10.1,81,Malaysia,Kuala Lumpur,"Banking, property",Diversified,Malaysia,False,M,Quek,Leng Chan,1941,21.5%,364701517788,45.1%,76.0,32447385
179,10.1,59,China,Beijing,Real estate,Real Estate,China,True,F,Wu,Yajun,1964,25.1%,19910000000000,50.6%,77.0,1397715000
182,10.0,85,United States,Midland,Oil,Energy,United States,True,M,Stephens,Autry,1938,17.2%,21427700000000,88.2%,78.5,328239523
183,9.9,74,China,Shanghai,Diversified,Service,China,True,M,Liu,Yongxing,1948,25.1%,19910000000000,50.6%,77.0,1397715000
184,9.8,74,United Arab Emirates,Dubai,"Infrastructure, commodities",Diversified,Cyprus,True,M,Adani,Vinod,1949,14.5%,421142267938,36.8%,77.8,9770529
184,9.8,80,Switzerland,Martigny,Hermes,Fashion & Retail,France,False,M,Puech,Nicolas,1943,-0.5%,703082435360,59.6%,83.6,8574832
184,9.8,51,France,Marseille,Shipping,Logistics,France,False,M,Saadé,Jacques,1971,10.0%,2715518274227,65.6%,82.5,67059887
184,9.8,53,France,Marseille,Shipping,Logistics,France,False,M,Saadé,Rodolphe,1970,10.0%,2715518274227,65.6%,82.5,67059887
184,9.8,55,France,Marseille,Shipping,Logistics,France,False,F,Saadé Zeenny,Tanya,1968,10.0%,2715518274227,65.6%,82.5,67059887
184,9.8,75,Sweden,Stockholm,Investments,Finance & Investments,Sweden,True,M,Schorling,Melker,1947,10.5%,530832908738,67.0%,82.5,10285453
190,9.7,63,Russia,Moscow,Fertilizers,Manufacturing,Russia,True,M,Guriev & family,Andrei,1960,80.8%,1699876578871,81.9%,72.7,144373535
190,9.7,59,South Korea,Seoul,Private equity,Finance & Investments,United States,True,M,Kim,Michael,1963,15.2%,2029000000000,94.3%,82.6,51709098
190,9.7,53,China,Beijing,Smartphones,Technology,China,True,M,Lei,Jun,1969,25.1%,19910000000000,50.6%,77.0,1397715000
190,9.7,76,Germany,Haiger,Manufacturing,Manufacturing,Germany,False,M,Loh,Friedhelm,1946,12.8%,3845630030824,70.2%,80.9,83132799
190,9.7,64,China,Lianyungang,Pharmaceuticals,Healthcare,China,True,M,Sun,Piaoyang,1958,25.1%,19910000000000,50.6%,77.0,1397715000
195,9.6,70,United States,Keene,Warehouse automation,Technology,United States,False,M,Cohen,Rick,1952,17.2%,21427700000000,88.2%,78.5,328239523
